ra,dec,u,g,r,i,z
230.303016715922,28.1603727657849,20.45564,18.55952,17.63701,17.20983,16.87491
230.332389767699,27.4298064321091,25.60525,22.57182,20.87369,19.76138,19.07233
231.05923804683,27.6003994863368,19.38036,18.48903,18.12215,17.98837,17.91
231.078745106168,27.202329996829,25.02232,21.07165,19.12579,18.50265,18.06544
230.334954830212,28.0065987802297,20.47733,18.72529,17.90995,17.51977,17.23894
230.361688867085,28.0299513840846,19.87788,17.94271,16.87885,16.43793,16.04422
230.365909093055,28.0937606320665,20.54962,18.59168,17.58135,17.15562,16.78959
230.966426941433,27.8031941512391,18.71005,16.77788,15.84686,15.39492,15.06043
230.835102252887,27.539844863543,19.28691,17.30237,16.35955,15.94934,15.59181
230.56786747493,27.5844038199111,25.59585,22.1265,20.83696,19.81444,19.62054
230.58016374349,27.8441834513507,19.78729,17.89206,16.98608,16.55519,16.16633
230.188948578346,27.7083363170216,18.88818,17.37114,16.51923,16.09144,15.77379
230.700487968955,27.3229630238956,21.35855,19.26218,17.82035,17.23174,16.81538
230.752090863468,27.6750214171431,20.1766,18.38994,17.50712,17.10236,16.76413
230.799452914066,27.3392479178017,25.17049,23.18856,22.19169,21.37967,21.25953
230.477211751681,28.1910483539662,23.46998,23.31269,22.49257,22.22707,22.602
230.275744225814,27.3976651129242,21.66058,20.56309,20.26154,19.98768,20.09707
230.776109607804,27.2189005626742,25.19287,23.97319,22.39705,21.89731,20.84145
230.891374787787,27.5568442036875,22.96693,22.98067,23.17013,22.29259,21.46221
230.134984946373,27.806551209745,21.4056,21.2592,20.74021,20.73001,20.65972
230.944930489175,27.5094429747576,24.62392,24.95208,23.48649,24.09197,22.89184
230.595960875835,27.7132936837278,22.65178,19.47148,17.72111,16.90526,16.78264
230.906729105368,28.166004018933,23.0067,21.27275,20.43309,20.09807,19.87531
231.074325171155,27.2075896123362,22.10571,22.47886,21.31968,21.16469,21.18306
230.58528578695,27.5671059367492,25.29755,23.62083,21.94986,21.21557,20.33876
230.22923397859,27.8452953502242,23.87902,23.26567,22.15124,21.52837,22.85668
230.258078234211,27.4576523051936,24.54853,23.67145,22.44203,21.63545,21.59395
230.818911992034,27.748932927968,22.36567,22.44314,22.12197,21.80167,22.07201
230.1098076585,27.322407243474,23.32478,23.60298,22.90438,22.4699,21.54538
230.559365274162,28.188081312851,23.4761,21.60823,21.04152,21.02786,20.19893
231.010147434065,27.4460487824432,23.34091,24.08854,23.77943,21.9668,21.81875
231.037161516525,27.9189139863537,19.23164,17.76097,17.00532,16.60544,16.36197
230.145589829442,27.4854023340021,21.83079,21.11171,19.99693,19.36061,19.02382
230.945247252026,27.2514246208382,23.82735,23.94579,22.85592,23.03688,22.2956
230.83038101681,27.5824727508587,23.2984,22.90852,22.408,21.95554,22.87192
230.545385804208,27.398800463902,22.11176,22.78143,21.36735,21.67278,20.69231
230.139976454453,27.7642065147652,25.27912,25.5204,24.60516,22.7326,23.31815
230.92411204176,28.1864535096803,23.80992,23.60476,23.9415,22.23361,22.41819
230.199531528868,27.2886465584006,20.24305,18.14633,17.05775,16.61661,16.23822
230.60607949326,27.2613359605776,24.08756,21.65341,20.38007,19.53524,19.00573
230.189848908095,27.8679122898686,23.65437,23.97816,22.71238,22.46317,22.22486
231.049010035374,28.1115000281716,26.54074,24.05078,23.61598,21.83415,22.17247
230.271059101752,27.6235069144049,25.05783,23.77614,22.25845,21.71354,21.46936
230.30098072014,27.8541620531812,23.81373,24.04307,22.81674,21.93618,21.08337
230.338228843227,27.3244822346084,21.20482,19.90467,19.34287,19.08854,18.93403
230.179987629155,27.8117946814732,23.68344,23.24534,21.70693,20.62197,19.86078
230.453139649604,27.7353651356776,25.78471,23.77727,22.35319,21.3128,20.64225
230.222168818388,27.3356475635129,23.54296,21.18594,19.72511,18.83242,18.29891
230.112147189793,27.8464603379792,25.41103,23.9843,22.74983,22.5064,21.39156
230.349267006727,27.5538585398595,21.10527,19.72723,19.10409,18.6706,18.36225
231.034998743138,27.6414014574326,25.24952,24.17931,23.91112,22.2693,21.14297
230.488181961458,27.7716710943194,22.61229,23.38671,22.56819,21.84733,22.44692
230.493519911307,28.1582019750762,23.17663,22.84708,21.8052,20.95226,20.49837
230.290516662565,27.9721354108904,21.5122,19.59735,18.12441,17.60463,17.25847
230.374195893941,27.644444147282,26.32418,22.59909,21.70439,21.22805,21.67543
230.249123659673,27.6934770664188,24.93289,23.00067,22.6692,21.96439,21.5592
230.703054587902,27.6615814326042,23.26345,23.07659,23.05752,22.32067,21.59759
230.291319447649,27.8219146814422,24.71284,24.38766,22.89542,20.79277,19.7705
230.230809683516,27.6971990337361,23.44684,23.33194,22.93681,22.81648,22.81984
230.467026081507,27.499267601236,23.77472,25.26719,23.35075,22.14322,21.28559
230.958817504677,27.9112099352515,22.43937,21.54997,20.95169,20.628,20.75137
230.338531654831,27.334674891442,24.02649,21.42094,20.13797,19.46407,19.07373
230.752074184497,28.0970279248399,22.998,21.27698,20.44515,20.17402,20.05616
230.994251806536,27.5166008199938,23.51584,22.49264,21.55264,21.56037,21.13389
230.107540009295,27.9166885963849,23.52419,22.69129,21.98078,21.77168,23.46788
230.752055742081,27.3985705141189,22.73821,22.71593,21.2601,21.30066,21.56113
230.218934488916,27.2286059874181,21.06725,20.02118,19.72988,19.66914,19.71512
230.402195864847,27.7930629446296,23.67188,22.52567,22.11697,21.79881,21.86101
231.034128958883,27.2894570576096,24.67086,25.08403,22.87373,22.3143,21.89955
230.619654493318,27.6640339096121,22.4282,21.51741,19.80969,19.164,18.60405
230.57583139571,27.5807069131531,22.69917,21.67886,21.53778,21.29454,21.22319
230.606847253993,27.4534871692741,26.0497,23.78754,22.56349,22.49083,22.07427
230.943361554192,28.1470784199276,24.28996,22.36456,21.506,21.13,21.49094
230.328502304678,27.2998065093888,22.85116,20.96586,19.55758,18.79482,18.36344
230.439249513596,28.1761747960165,24.90423,23.70643,22.15263,20.78037,19.96656
